login,full_name,created_at,pushed_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
msoos,msoos/cryptominisat,2012-03-13T17:56:05Z,2024-10-25T21:39:22Z,820,820,C++,false,false,other
fjl,fjl/7002asm,2024-03-18T23:03:30Z,2024-10-25T21:37:06Z,1,1,,true,true,mit
Drakulix,Drakulix/cosmic-ext-extra-sessions,2024-10-25T21:24:59Z,2024-10-25T21:36:49Z,5,5,Shell,false,false,gpl-3.0
eps1lon,eps1lon/mui-scripts-incubator,2019-05-27T14:44:03Z,2024-10-25T21:34:08Z,4,4,JavaScript,false,false,
prof18,prof18/homebrew-cask,2024-09-13T21:37:58Z,2024-10-25T21:28:28Z,0,0,,true,false,bsd-2-clause
chrisguttandin,chrisguttandin/berlin-video-tech-meetup-june-2023,2023-06-07T19:48:43Z,2024-10-25T21:27:14Z,0,0,TypeScript,true,false,mit
EmaSuriano,EmaSuriano/deep-learning-group-7,2024-10-16T09:37:18Z,2024-10-25T21:26:38Z,0,0,Jupyter Notebook,true,true,
prof18,prof18/feed-flow,2023-02-11T00:04:52Z,2024-10-25T21:25:53Z,337,337,Kotlin,true,true,apache-2.0
chrisguttandin,chrisguttandin/timing-provider,2018-09-17T16:46:42Z,2024-10-25T21:17:48Z,30,30,JavaScript,true,false,mit
Drakulix,Drakulix/cosmic-ext-alternative-startup,2024-10-23T12:21:30Z,2024-10-25T21:16:31Z,0,0,Rust,true,false,gpl-3.0
chrisguttandin,chrisguttandin/timing-object,2017-10-22T05:45:56Z,2024-10-25T21:15:51Z,38,38,JavaScript,true,false,mit
eps1lon,eps1lon/next.js,2019-07-04T13:18:28Z,2024-10-25T21:11:36Z,0,0,JavaScript,true,true,mit
chrisgrieser,chrisgrieser/nvim-scissors,2023-12-29T18:25:01Z,2024-10-25T20:55:39Z,377,377,Lua,true,true,mit
photoprism,photoprism/photoprism,2018-01-27T12:00:15Z,2024-10-25T20:46:20Z,35188,35188,Go,true,false,other
AbdullahBakir97,AbdullahBakir97/API-Client-Generator,2024-06-16T13:13:31Z,2024-10-25T20:34:06Z,0,0,Python,true,true,
mxschmitt,mxschmitt/playwright,2020-03-21T22:57:51Z,2024-10-25T20:23:07Z,4,4,TypeScript,false,false,apache-2.0
chrisguttandin,chrisguttandin/audio-fingerprinting-file-reader,2016-03-29T12:47:36Z,2024-10-25T19:52:45Z,11,11,JavaScript,true,false,mit
msoos,msoos/csb,2024-10-25T13:14:07Z,2024-10-25T19:52:22Z,0,0,,true,true,other
pepelsbey,pepelsbey/baseline-status,2024-09-19T15:54:02Z,2024-10-25T19:51:49Z,0,0,JavaScript,true,false,apache-2.0
MoeinDeveloper92,MoeinDeveloper92/hangman,2024-10-25T19:51:45Z,2024-10-25T19:51:48Z,0,0,TypeScript,true,true,
PurpleBooth,PurpleBooth/readable-name-generator,2019-11-08T21:09:33Z,2024-10-25T19:50:14Z,6,6,Rust,false,false,cc0-1.0
chrisguttandin,chrisguttandin/audio-developer-conference-2022,2022-11-10T01:01:27Z,2024-10-25T19:24:22Z,2,2,TypeScript,true,false,mit
camunda,camunda/connector-template-inbound,2023-02-15T15:06:12Z,2024-10-25T19:18:36Z,1,1,Java,true,true,apache-2.0
tcurdt,tcurdt/release-java,2021-08-29T00:30:16Z,2024-10-25T19:16:51Z,3,3,Java,true,true,
chrisguttandin,chrisguttandin/audio-developer-conference-2019,2019-11-18T12:05:16Z,2024-10-25T19:14:39Z,0,0,TypeScript,true,false,mit
hellofresh,hellofresh/klepto,2017-10-10T11:49:19Z,2024-10-25T19:11:23Z,291,291,Go,true,true,mit
mr-mig,mr-mig/ptics,2024-10-14T11:50:59Z,2024-10-25T19:09:09Z,0,0,Ruby,true,true,
chrisguttandin,chrisguttandin/audio-context-timers,2016-11-22T00:01:42Z,2024-10-25T19:05:24Z,15,15,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/array-buffer-cache,2017-05-14T01:48:22Z,2024-10-25T18:37:30Z,0,0,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/array-buffer-cache-broker,2017-05-14T00:57:24Z,2024-10-25T18:34:22Z,0,0,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/array-buffer-cache-worker,2017-05-10T01:19:55Z,2024-10-25T18:31:43Z,0,0,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/angular-prerender,2018-07-30T14:25:24Z,2024-10-25T18:28:42Z,126,126,JavaScript,true,false,mit
PurpleBooth,PurpleBooth/game-of-life,2020-04-12T14:15:15Z,2024-10-25T18:27:05Z,2,2,Rust,true,true,cc0-1.0
chrisguttandin,chrisguttandin/angular-meetup-berlin-april-2019,2019-04-12T14:54:26Z,2024-10-25T18:22:00Z,0,0,TypeScript,true,false,mit
camunda,camunda/connector-template-outbound,2022-07-29T05:56:01Z,2024-10-25T18:21:55Z,12,12,Java,false,false,apache-2.0
zalando,zalando/logbook,2015-09-14T15:29:12Z,2024-10-25T18:19:17Z,1837,1837,Java,false,false,mit
chrisguttandin,chrisguttandin/angular-audio-context,2014-03-04T22:05:10Z,2024-10-25T18:10:56Z,21,21,JavaScript,true,false,mit
dereuromark,dereuromark/cakephp-sandbox,2013-08-30T23:38:01Z,2024-10-25T18:02:26Z,58,58,PHP,false,true,mit
ueberdosis,ueberdosis/tiptap,2018-08-20T19:58:58Z,2024-10-25T18:02:26Z,27246,27246,TypeScript,true,false,mit
mwarning,mwarning/dhtd,2023-05-25T20:53:53Z,2024-10-25T18:00:40Z,17,17,C,true,true,mit
